Layer,GAP8 – GVSOC,,GAP9 – GVSOC,,GAP9 – BOARD,
,Cycles,MAC/cycle,Cycles,MAC/cycle,Cycles,MAC/cycle
MFCC,475000,,540117,,53836024,
Std Conv2D,97871,3.26961,98096,3.26211,107703,2.97113
DW Conv2D,46717,1.54119,59034,1.21964,107940,0.667037
PW Conv2D,88981,5.75404,86090,5.94726,106819,4.79315
DW Conv2D,44469,1.61911,58963,1.2211,107645,0.668865
PW Conv2D,87271,5.86678,85944,5.95737,106843,4.79208
DW Conv2D,46413,1.55129,58900,1.22241,107217,0.671535
PW Conv2D,87035,5.88269,86156,5.94271,106826,4.79284
DW Conv2D,44446,1.61994,59099,1.21829,107416,0.670291
PW Conv2D,86075,5.9483,85988,5.95432,106812,4.79347
AvgPooling,37732,,37157,,39091,
FC,1861,0.412681,2438,0.315012,2076,0.369942
Total NN inference,668871,3.97202,717865,3.70093,1006388,2.6399
Total,1143871,,1257982,,54842412,
Total [M],1.143871,,1.257982,,54.842412,
